Gtype 1
Gr1_inner 8
Gr1_outer 61
Gr2_inner 8
Gr2_outer 61
Gdx 2.07336
Gdy 2.07336
Gdz 20.05
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 1.95
Gcrystal_dy 1.95
Gcrystal_dz 20
Gcarbon_gap 0.025
Greflective_foil_thickness 0.0066
Gtedlar_thickness 0.00508
carbon_frame_style 1
carbon_frame_depth 2.0
carbon_face_lip 0.1
Gair_gap 0
Gmaterial 0.5
Gcolor_R 0
Gcolor_G 0
Gcolor_B 1
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 6 36 0 -47 13 -185 1.95 1.95 20 0 0 0
Tower 0 6 37 0 -47 15 -185 1.95 1.95 20 0 0 0
Tower 0 7 36 0 -45 13 -185 1.95 1.95 20 0 0 0
Tower 0 7 37 0 -45 15 -185 1.95 1.95 20 0 0 0
Tower 0 6 38 0 -47 17 -185 1.95 1.95 20 0 0 0
Tower 0 6 39 0 -47 19 -185 1.95 1.95 20 0 0 0
Tower 0 7 38 0 -45 17 -185 1.95 1.95 20 0 0 0
Tower 0 7 39 0 -45 19 -185 1.95 1.95 20 0 0 0
Tower 0 6 40 0 -47 21 -185 1.95 1.95 20 0 0 0
Tower 0 6 41 0 -47 23 -185 1.95 1.95 20 0 0 0
Tower 0 7 40 0 -45 21 -185 1.95 1.95 20 0 0 0
Tower 0 7 41 0 -45 23 -185 1.95 1.95 20 0 0 0
Tower 0 6 42 0 -47 25 -185 1.95 1.95 20 0 0 0
Tower 0 6 43 0 -47 27 -185 1.95 1.95 20 0 0 0
Tower 0 7 42 0 -45 25 -185 1.95 1.95 20 0 0 0
Tower 0 7 43 0 -45 27 -185 1.95 1.95 20 0 0 0
Tower 0 6 44 0 -47 29 -185 1.95 1.95 20 0 0 0
Tower 0 6 45 0 -47 31 -185 1.95 1.95 20 0 0 0
Tower 0 7 44 0 -45 29 -185 1.95 1.95 20 0 0 0
Tower 0 7 45 0 -45 31 -185 1.95 1.95 20 0 0 0
Tower 0 6 46 0 -47 33 -185 1.95 1.95 20 0 0 0
Tower 0 6 47 0 -47 35 -185 1.95 1.95 20 0 0 0
