Gtype 1
Gr1_inner 53
Gr1_outer 75
Gr2_inner 53
Gr2_outer 75
Gdz 40
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 3.8
Gcrystal_dy 3.8
Gcrystal_dz 40
Gcarbon_gap 0.1
Gair_gap 0
Gmaterial 7.5
Gcolor_R 1
Gcolor_G 0
Gcolor_B 0
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 18 34 0 -4 60 -210 3.8 3.8 40 0 0 0
Tower 0 18 35 0 -4 64 -210 3.8 3.8 40 0 0 0
Tower 0 18 36 0 -4 68 -210 3.8 3.8 40 0 0 0
Tower 0 19 1 0 0 -72 -210 3.8 3.8 40 0 0 0
Tower 0 19 2 0 0 -68 -210 3.8 3.8 40 0 0 0
Tower 0 19 3 0 0 -64 -210 3.8 3.8 40 0 0 0
Tower 0 19 4 0 0 -60 -210 3.8 3.8 40 0 0 0
Tower 0 19 5 0 0 -56 -210 3.8 3.8 40 0 0 0
Tower 0 19 33 0 0 56 -210 3.8 3.8 40 0 0 0
Tower 0 19 34 0 0 60 -210 3.8 3.8 40 0 0 0
Tower 0 19 35 0 0 64 -210 3.8 3.8 40 0 0 0
Tower 0 19 36 0 0 68 -210 3.8 3.8 40 0 0 0
Tower 0 20 1 0 4 -72 -210 3.8 3.8 40 0 0 0
Tower 0 20 2 0 4 -68 -210 3.8 3.8 40 0 0 0
Tower 0 20 3 0 4 -64 -210 3.8 3.8 40 0 0 0
Tower 0 20 4 0 4 -60 -210 3.8 3.8 40 0 0 0
Tower 0 20 5 0 4 -56 -210 3.8 3.8 40 0 0 0
Tower 0 20 33 0 4 56 -210 3.8 3.8 40 0 0 0
Tower 0 20 34 0 4 60 -210 3.8 3.8 40 0 0 0
Tower 0 20 35 0 4 64 -210 3.8 3.8 40 0 0 0
Tower 0 20 36 0 4 68 -210 3.8 3.8 40 0 0 0
Tower 0 21 1 0 8 -72 -210 3.8 3.8 40 0 0 0
Tower 0 21 2 0 8 -68 -210 3.8 3.8 40 0 0 0
Tower 0 21 3 0 8 -64 -210 3.8 3.8 40 0 0 0
Tower 0 21 4 0 8 -60 -210 3.8 3.8 40 0 0 0
Tower 0 21 5 0 8 -56 -210 3.8 3.8 40 0 0 0
Tower 0 21 33 0 8 56 -210 3.8 3.8 40 0 0 0
Tower 0 21 34 0 8 60 -210 3.8 3.8 40 0 0 0
Tower 0 21 35 0 8 64 -210 3.8 3.8 40 0 0 0
Tower 0 21 36 0 8 68 -210 3.8 3.8 40 0 0 0
Tower 0 22 1 0 12 -72 -210 3.8 3.8 40 0 0 0
Tower 0 22 2 0 12 -68 -210 3.8 3.8 40 0 0 0
Tower 0 22 3 0 12 -64 -210 3.8 3.8 40 0 0 0
Tower 0 22 4 0 12 -60 -210 3.8 3.8 40 0 0 0
Tower 0 22 5 0 12 -56 -210 3.8 3.8 40 0 0 0
Tower 0 22 6 0 12 -52 -210 3.8 3.8 40 0 0 0
Tower 0 22 32 0 12 52 -210 3.8 3.8 40 0 0 0
Tower 0 22 33 0 12 56 -210 3.8 3.8 40 0 0 0
Tower 0 22 34 0 12 60 -210 3.8 3.8 40 0 0 0
Tower 0 22 35 0 12 64 -210 3.8 3.8 40 0 0 0
Tower 0 22 36 0 12 68 -210 3.8 3.8 40 0 0 0
Tower 0 23 1 0 16 -72 -210 3.8 3.8 40 0 0 0
Tower 0 23 2 0 16 -68 -210 3.8 3.8 40 0 0 0
Tower 0 23 3 0 16 -64 -210 3.8 3.8 40 0 0 0
Tower 0 23 4 0 16 -60 -210 3.8 3.8 40 0 0 0
Tower 0 23 5 0 16 -56 -210 3.8 3.8 40 0 0 0
Tower 0 23 6 0 16 -52 -210 3.8 3.8 40 0 0 0
Tower 0 23 32 0 16 52 -210 3.8 3.8 40 0 0 0
Tower 0 23 33 0 16 56 -210 3.8 3.8 40 0 0 0
Tower 0 23 34 0 16 60 -210 3.8 3.8 40 0 0 0
Tower 0 23 35 0 16 64 -210 3.8 3.8 40 0 0 0
Tower 0 23 36 0 16 68 -210 3.8 3.8 40 0 0 0
Tower 0 24 1 0 20 -72 -210 3.8 3.8 40 0 0 0
Tower 0 24 2 0 20 -68 -210 3.8 3.8 40 0 0 0
