Gtype 1
Gr1_inner 84
Gr1_outer 132
Gr2_inner 84
Gr2_outer 132
Gdz 40
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 3.8
Gcrystal_dy 3.8
Gcrystal_dz 40
Gcarbon_gap 0.1
Gair_gap 0
Gmaterial 7.5
Gcolor_R 1
Gcolor_G 0
Gcolor_B 0
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 4 28 0 -114 -18 -260 3.8 3.8 40 0 0 0
Tower 0 4 29 0 -114 -14 -260 3.8 3.8 40 0 0 0
Tower 0 4 30 0 -114 -10 -260 3.8 3.8 40 0 0 0
Tower 0 4 31 0 -114 -6 -260 3.8 3.8 40 0 0 0
Tower 0 4 32 0 -114 -2 -260 3.8 3.8 40 0 0 0
Tower 0 4 33 0 -114 2 -260 3.8 3.8 40 0 0 0
Tower 0 4 34 0 -114 6 -260 3.8 3.8 40 0 0 0
Tower 0 4 35 0 -114 10 -260 3.8 3.8 40 0 0 0
Tower 0 4 36 0 -114 14 -260 3.8 3.8 40 0 0 0
Tower 0 4 37 0 -114 18 -260 3.8 3.8 40 0 0 0
Tower 0 4 38 0 -114 22 -260 3.8 3.8 40 0 0 0
Tower 0 4 39 0 -114 26 -260 3.8 3.8 40 0 0 0
Tower 0 4 40 0 -114 30 -260 3.8 3.8 40 0 0 0
Tower 0 4 41 0 -114 34 -260 3.8 3.8 40 0 0 0
Tower 0 4 42 0 -114 38 -260 3.8 3.8 40 0 0 0
Tower 0 4 43 0 -114 42 -260 3.8 3.8 40 0 0 0
Tower 0 4 44 0 -114 46 -260 3.8 3.8 40 0 0 0
Tower 0 4 45 0 -114 50 -260 3.8 3.8 40 0 0 0
Tower 0 4 46 0 -114 54 -260 3.8 3.8 40 0 0 0
Tower 0 4 47 0 -114 58 -260 3.8 3.8 40 0 0 0
Tower 0 4 48 0 -114 62 -260 3.8 3.8 40 0 0 0
Tower 0 4 49 0 -114 66 -260 3.8 3.8 40 0 0 0
Tower 0 5 15 0 -110 -70 -260 3.8 3.8 40 0 0 0
Tower 0 5 16 0 -110 -66 -260 3.8 3.8 40 0 0 0
Tower 0 5 17 0 -110 -62 -260 3.8 3.8 40 0 0 0
Tower 0 5 18 0 -110 -58 -260 3.8 3.8 40 0 0 0
Tower 0 5 19 0 -110 -54 -260 3.8 3.8 40 0 0 0
Tower 0 5 20 0 -110 -50 -260 3.8 3.8 40 0 0 0
Tower 0 5 21 0 -110 -46 -260 3.8 3.8 40 0 0 0
Tower 0 5 22 0 -110 -42 -260 3.8 3.8 40 0 0 0
Tower 0 5 23 0 -110 -38 -260 3.8 3.8 40 0 0 0
Tower 0 5 24 0 -110 -34 -260 3.8 3.8 40 0 0 0
Tower 0 5 25 0 -110 -30 -260 3.8 3.8 40 0 0 0
Tower 0 5 26 0 -110 -26 -260 3.8 3.8 40 0 0 0
Tower 0 5 27 0 -110 -22 -260 3.8 3.8 40 0 0 0
Tower 0 5 28 0 -110 -18 -260 3.8 3.8 40 0 0 0
Tower 0 5 29 0 -110 -14 -260 3.8 3.8 40 0 0 0
Tower 0 5 30 0 -110 -10 -260 3.8 3.8 40 0 0 0
Tower 0 5 31 0 -110 -6 -260 3.8 3.8 40 0 0 0
Tower 0 5 32 0 -110 -2 -260 3.8 3.8 40 0 0 0
Tower 0 5 33 0 -110 2 -260 3.8 3.8 40 0 0 0
Tower 0 5 34 0 -110 6 -260 3.8 3.8 40 0 0 0
Tower 0 5 35 0 -110 10 -260 3.8 3.8 40 0 0 0
Tower 0 5 36 0 -110 14 -260 3.8 3.8 40 0 0 0
